id,addr_gba,scene,context,max_bytes,max_chars,en,mt,final,status,notes
0029487C,0x829487C,main-text,,50,24,Petalburg City[/n]“Where people mingle with nature.”,古华顿市[/n]“人与自然和谐共处的地方.”,,machine-translated, [ptr:0x29421b]
002948AE,0x82948AE,main-text,,14,6,Wally's House,小光的家,,machine-translated, [ptr:0x294224]
002948BC,0x82948BC,main-text,,81,40,"Excuse me![/p]Let me guess, from the way you're[/n]dressed, are you a Pokémon Trainer?","不好意思![/p]让我猜猜, 看你的[/n]打扮, 你是宝可梦训练家吗?",,machine-translated, [ptr:0x2944b0]
0029490D,0x829490D,main-text,,135,67,"[...] [...] [...] [...] [...] [...][/p]Well, maybe not.[/n]Your clothes aren't all that dirty.[/p]You're either a rookie Trainer,[/n]or maybe you're just an ordinary kid.","[...] [...] [...] [...] [...] [...][/p]不对, 也许不是.[/n]你的衣服也没那么脏.[/p]你要么是个新手训练家,[/n]要么只是个普通小孩.",,machine-translated, [ptr:0x2944c6]
00294994,0x8294994,main-text,,88,43,I'm roaming the land in search of[/n]talented Trainers.[/p]I'm sorry to have taken your time.,我在四处寻找[/n]优秀的训练家.[/p]抱歉打扰你了.,,machine-translated, [ptr:0x2944dc]
00294A64,0x8294A64,main-text,,168,83,"(There's a note attached to the door.)[/p]Hi! Sorry for the inconvenience, but[/n]we're currently closed.[/p]Gym Leader Norman is out on business.[/n]We should be open again soon!","(门上贴着一张告示.)[/p]你好! 不好意思, 我们现在暂停营业[/n]了.[/p]道馆馆主诺曼因公外出.[/n]应该很快就会恢复营业!",,machine-translated, [ptr:0x294a1e]
00294B0C,0x8294B0C,main-text,,111,55,I saw Norman leave here with a set[/n]of Go-Goggles not so long ago.[/p]I wonder what business he has in the[/n]desert?,不久前我看到诺曼带着一副GO GO护[/n]目镜离开了.[/p]不知道他去沙漠[/n]干什么?,,machine-translated, [ptr:0x294a4b]
002955CD,0x82955CD,main-text,,56,27,"Whoah! This line's way too long,[/n]dude! What's the deal?","哇! 这队也排太长了吧,[/n]老兄! 怎么回事?",,machine-translated, [ptr:0x29557f]
00295605,0x8295605,main-text,,191,95,"Oh, hey there![/p]Hmm? You're looking for the[/n]Dewford Gym Leader?[/p]That'd be me, Brawly![/n]I guess you want a battle, yeah?[/p]Gnarly! I'll head back to the Gym.[/n]You better be ready to make a splash!","哦, 嘿![/p]嗯? 你在找[/n]德文镇的道馆馆主?[/p]就是我, 得抚![/n]你想要对战对吧?[/p]太棒了! 我回道馆等你.[/n]你最好做好准备!",,machine-translated, [ptr:0x2955a0]
00295704,0x8295704,main-text,,57,28,Need to boost your Pokémon's[/n]training?[/p]Give these a try!,想让你的宝可梦[/n]训练更上一层楼?[/p]试试这些吧!,,machine-translated, [ptr:0x294cc7]
00295766,0x8295766,main-text,,13,6,Oh?[/n]Your [buffer1][...],哦?[/n]你的 [buffer1][...],,machine-translated, [ptr:0x294cf4]
00295773,0x8295773,main-text,,76,37,"Went for it stupendously![/p]As its reward, please give it this[/n]Effort Ribbon.","表现得非常出色![/p]作为奖励, 请把这个[/n]努力勋章给它.",,machine-translated, [ptr:0x294d1c]
002957BF,0x82957BF,main-text,,31,15,[玩家] received the Effort Ribbon.,[玩家]获得了努力勋章.,,machine-translated, [ptr:0x294d26]
002957DE,0x82957DE,main-text,,32,15,[玩家] put the Effort Ribbon[/n]on [buffer1].,[玩家]把努力勋章[/n]给[buffer1]戴上了.,,machine-translated, [ptr:0x294d2d]
002957FE,0x82957FE,main-text,,89,44,"You have to go for it a little harder.[/p]If you do, I'll give your Pokémon[/n]something nice.","你得再加把劲才行.[/p]只要做到了, 我就给你的宝可梦一份[/n]好礼.",,machine-translated, [ptr:0x294d3a]
00295857,0x8295857,main-text,,50,24,"Oh! Your [buffer1], that Effort[/n]Ribbon looks good on it!","哦! 你的[buffer1], 戴上[/n]努力勋章真好看!",,machine-translated, [ptr:0x294d44]
00295889,0x8295889,main-text,,109,54,The light of the lighthouse reaches[/n]dozens of miles away.[/p]I wonder if it doesn't startle Pokémon[/n]in the sea.,灯塔的光能照到[/n]数十里外.[/p]不知道会不会吓到[/n]海里的宝可梦.,,machine-translated, [ptr:0x2952b3]
002958F6,0x82958F6,main-text,,140,69,"Ooh, look at this![/p]The seaweed you can get around these[/n]parts is fresh and full of life.[/p]Why, it looks like it can even rear up[/n]and attack!","哦, 快看![/p]这一带的海藻[/n]又新鲜又有活力.[/p]咦, 它好像还能[/n]站起来攻击呢!",,machine-translated, [ptr:0x294d5b]
00295982,0x8295982,main-text,,151,75,"Where the water is clean, the fruits[/n]of bountiful harvest gather.[/p]And where people gather, a market[/n]soon starts.[/p]That is how a town is born and grows.","干净的水源处[/n]汇聚着丰收的果实.[/p]人们聚集之处,[/n]集市便应运而生.[/p]城镇就是这样诞生并成长起来的.",,machine-translated, [ptr:0x294d7c]
00295A19,0x8295A19,main-text,,92,45,Shopping where you can breathe the[/n]scent of the ocean[...][/p]Slateport is such a wonderful place!,在能呼吸到[/n]海风的地方购物[...][/p]凯那市真是个好地方!,,machine-translated, [ptr:0x294da6]
00295A75,0x8295A75,main-text,,155,77,"If you put Dolls or Cushions on[/n]the floor, they'll get dirty.[/p]I'm going to buy some Bricks so my[/n]Dolls and Cushions won't get dirty[/l]when I leave them out.","把玩偶或坐垫[/n]放地上会弄脏的.[/p]我要去买些砖头,[/n]这样我的玩偶和坐垫[/l]放外面也不会脏[/p]了.",,machine-translated, [ptr:0x294dba]
00295B10,0x8295B10,main-text,,102,50,"Wroooar! I'm going to compete in[/n]the Battle Tent, too![/p]But before that, I need to catch[/n]some Pokémon!","吼噢! 我也要去[/n]对战帐篷参赛![/p]不过在那之前, 我得[/n]先抓些宝可梦!",,machine-translated, [ptr:0x294dd1]
00295B76,0x8295B76,main-text,,135,67,"Whew[...] I'm just bushed[...][/p]I hiked over from Mauville City.[/n]But, boy, this city's huge.[/p]If I'd known this, I would've ridden[/n]my Bike here.","呼[...]累死我了[...][/p]我从绿荫市走过来的.[/n]不过, 这城市也太大了.[/p]早知道的话, 我就[/n]骑自行车来了.",,machine-translated, [ptr:0x294df0]
00295BFD,0x8295BFD,main-text,,139,69,"Stern, the fellow who built the[/n]MUSEUM, also happens to be the leader[/l]of an undersea exploration team.[/p]So, everyone calls him Capt. Stern.","建造了这座[/n]博物馆的斯彭, 同时也是[/l]一支海底探[/p]险队的队长.[/p]所以大家都叫他斯彭船长.",,machine-translated, [ptr:0x294e0f]
00295C88,0x8295C88,main-text,,41,20,What is that over there?[/n]That long line[...],那边是什么?[/n]那条长队[...],,machine-translated, [ptr:0x294e2e]
00295CB1,0x8295CB1,main-text,,122,60,"When I was a child, I visited[/n]the Museum often.[/p]I used to dream about the mysteries of[/n]the sea after seeing the exhibits.","小时候我经常[/n]来这座博物馆.[/p]每次看完展览, 我都会[/n]梦想着大海的奥秘.",,machine-translated, [ptr:0x294e38]
00295D2B,0x8295D2B,main-text,,59,29,"Hey, there! Quit pushing![/n]This is the line, can't you see?",喂! 别推了![/n]没看到在排队吗?,,machine-translated, [ptr:0x294f17]
00295D66,0x8295D66,main-text,,75,37,Team Aqua has a policy of[/n]assembling and dispersing at[/l]the operation site.,"水箭队有个规矩,[/n]就是集合和解散都[/l]在行动地点进行.",,machine-translated, [ptr:0x294f2e]
00295DB1,0x8295DB1,main-text,,67,33,Our Boss is brilliant.[/p]What would he want to do with[/n]a Museum now?,我们的老大可精明了.[/p]他怎么可能对[/n]博物馆感兴趣?,,machine-translated, [ptr:0x294f45]
00295DF4,0x8295DF4,main-text,,101,50,"What's the new scheme, I wonder?[/p]Our Boss is scary when he's mad, so[/n]I'd better not screw things up[...]","不知道又有什么新计划?[/p]老大发火可吓人了,[/n]我可别搞砸了[...]",,machine-translated, [ptr:0x294f5c]
00295E59,0x8295E59,main-text,,67,33,"If there's something we need in[/n]the Museum, we should take it all!","博物馆里要是有什么我们需要的东西,[/n] 全部拿走就好了!",,machine-translated, [ptr:0x294f73]
00295E9C,0x8295E9C,main-text,,31,15,"Hey, you there![/n]Don't butt in!","喂, 你![/n]别多管闲事!",,machine-translated, [ptr:0x294f8a]
00295EBB,0x8295EBB,main-text,,80,39,"A long line, huh?[/p]It reminds me of the times I lined up to[/n]buy smash-hit games[...]",排这么长的队啊?[/p]让我想起以前排队[/n]买热门游戏的日子[...],,machine-translated, [ptr:0x294fa1]
00295F0B,0x8295F0B,main-text,,63,31,Why are we even lining up and paying?[/n]We should just march in!,为什么要排队还要付钱?[/n]直接冲进去不就好了!,,machine-translated, [ptr:0x294fb8]
00295F4A,0x8295F4A,main-text,,24,11,What?[/n]What do you want?,什么?[/n]你想干什么?,,machine-translated, [ptr:0x294fe6]
00295F62,0x8295F62,main-text,,50,24,You want to read this sign?[/n]I'll read it for you!,你想看这块告示牌?[/n]我来帮你读!,,machine-translated, [ptr:0x29500d]
00295F94,0x8295F94,main-text,,122,60,"Let's see[...][/p]Um[...] I think it says something like[/n]“the life in the sea is endless.”[/p]Yup, I'm pretty sure that's what[/n]it says.","让我看看[...][/p]嗯[...]上面好像写着[/n]“大海的生命是无穷无尽的.”[/p]嗯, 我确定[/n]就是这么写的.",,machine-translated, [ptr:0x29502a]
0029600E,0x829600E,main-text,,83,41,Grumble[...][/p]I should've brought Elite Redux[/n]so I wouldn't get bored in line[...][/p]Grumble[...],咕哝[...][/p]早知道带Elite Redux来了[/n]排队就不无聊了[...][/p]咕哝[...],,machine-translated, [ptr:0x295056]
00296061,0x8296061,main-text,,106,52,"When this operation's over, I'll take[/n]you to a hot spring spa![/p]That's what our leader said.[/n]I can't wait!","等这次行动结束, 老大说[/n]要带我们去泡温泉![/p]真是让人期待[/n]等不及了!",,machine-translated, [ptr:0x295061]
002960CB,0x82960CB,main-text,,84,41,The sea is just so vast[...][/p]Could the sea have been made by[/n]the tears shed by Pokémon?,大海真是辽阔无边啊[...][/p]大海会不会是[/n]宝可梦流下的眼泪汇聚而成的呢?,,machine-translated, [ptr:0x294ef1]
0029611F,0x829611F,main-text,,135,67,Do you know what they do with old[/n]ships that become too creaky to sail?[/p]They sink them in the sea so they[/n]become habitats for Pokémon.,"你知道那些破旧到[/n]无法航行的旧船会怎么处理吗?[/p]它们会被沉入海底,[/n]成为宝可梦的栖息地.",,machine-translated, [ptr:0x294efa]
002961A6,0x82961A6,main-text,,60,29,"Whenever I visit here, I get carried[/n]away and buy too much.","每次来这里, 我都会[/n]忍不住买太多东西.",,machine-translated, [ptr:0x294f03]
002961E2,0x82961E2,main-text,,134,66,"If you want to change your Pokémon's[/n]nickname, you'll have to get a Name[/l]Rater to help you.[/p]You can find one in every Pokémon[/n]Center.","如果你想给宝可梦[/n]改昵称, 得去找一位[/l]起名博士帮忙.[/p]每个宝可梦[/n]中心都能找到.",,machine-translated, [ptr:0x294ed4;0x294ede]
00296268,0x8296268,main-text,,128,63,"Any Pokémon you get in a trade,[/n]you can't change its nickname.[/p]The original Trainer's love for that[/n]Pokémon is in the nickname.",通过交换得到的宝可梦[/n]是不能改昵称的.[/p]原训练家对那只[/n]宝可梦的心意都凝聚在昵称里.,,machine-translated, [ptr:0x294ee8]
002962E8,0x82962E8,main-text,,162,80,"Recently, a Battle Tent was built[/n]in Slateport.[/p]Gyms are fun, but the Battle Tent's[/n]awesome in its own way.[/p]You should go find tough Pokémon[/n]for the Battle Tent!","最近凯那市[/n]新开了一座对战帐篷.[/p]道馆很有趣, 但对战帐篷[/n]也有它独特的魅力.[/p]你应该去找些厉害的宝可梦来挑战对[/n]战帐篷!",,machine-translated, [ptr:0x294f0c]
0029638A,0x829638A,main-text,,126,62,I was hoping that it was a famous star[/n]so I could get an autograph.[/p]But who's that being interviewed?[/n]Isn't that Capt. Stern?,我还以为是什么名人呢[/n]想要个签名.[/p]不过接受采访的那个人是谁?那不是[/n]斯彭船长吗?,,machine-translated, [ptr:0x294d86]
00296408,0x8296408,main-text,,106,52,"That lady interviewer is so cool[/n]and pretty.[/p]When I grow up, I'm going to be[/n]an international journalist!",那个女记者又酷[/n]又漂亮.[/p]我长大了也要当[/n]国际记者!,,machine-translated, [ptr:0x294db0]
00296472,0x8296472,main-text,,108,53,Capt. Stern says they discovered[/n]something at the bottom of the sea.[/p]I wonder what it is?[/n]What could it be?,斯彭船长说他们在[/n]海底发现了什么.[/p]到底是什么呢?[/n]会是什么呢?,,machine-translated, [ptr:0x294ddb]
002964DE,0x82964DE,main-text,,91,45,What's going on here?[/p]Did the good Captain come back with[/n]a big fish from the ocean floor?,这里怎么了?[/p]船长是不是从海底[/n]带了什么宝贝回来?,,machine-translated, [ptr:0x294d65]
00296539,0x8296539,main-text,,35,17,Hey! Are you watching?[/n]Am I on TV?,喂! 你在看吗?[/n]我上电视了吗?,,machine-translated, [ptr:0x294df9]
0029655C,0x829655C,main-text,,49,24,A TV interview! Here![/n]The Captain's a celebrity!,电视采访! 就在这![/n]船长成名人了!,,machine-translated, [ptr:0x294e19]
0029658D,0x829658D,main-text,,51,25,"TY: Okay, Capt. Stern, a big smile[/n]for the camera!","TY: 好的, 斯彭船长, 对着镜头笑一[/n]个!",,machine-translated, [ptr:0x2952a1]
002965C0,0x82965C0,main-text,,62,30,"Gabby: I see, I see. You've had a most[/n]invaluable experience[...]",嘉比: 原来如此. 你有着一段非常宝[/n]贵的经历[...],,machine-translated, [ptr:0x2952aa]
002965FE,0x82965FE,main-text,,72,35,"Capt. Stern: Yes, indeed. We intend to[/n]move ahead with our exploration.",斯彭船长: 是的. 我们打算继续进行[/n]探索.,,machine-translated, [ptr:0x2950ab]
00296646,0x8296646,main-text,,173,86,"Gabby: That's wonderful, Capt. Stern![/n]Thank you for taking the time from[/l]your busy schedule to talk to us.[/p]We hope we can interview you again[/n]with news of more discoveries!","嘉比: 太好了, 斯彭船长![/n]感谢您在百忙之中[/l]抽出时间接受我们[/p]的采访.[/p]希望以后能再次采访您,[/n]带来更多发现的消息!",,machine-translated, [ptr:0x2950b3]
002966F3,0x82966F3,main-text,,88,43,Capt. Stern: Whew[...][/p]That was my first time to be filmed for[/n]TV. That was nerve-wracking.,"斯彭船长: 呼[...][/p]这是我第一次上电视[/n]拍摄, 真是紧张死了.",,machine-translated, [ptr:0x2950fb]
0029674B,0x829674B,main-text,,213,106,Oh! [玩家][fd08]![/n]You're looking great![/p]We made a huge discovery on our last[/n]seafloor exploration.[/p]We found an underwater cavern on[/n]Route 128.[/p]We think it's the habitat of a Pokémon[/n]that's said to have been long extinct.,哦! [玩家][fd08]![/n]你看起来精神很好![/p]我们在上次的[/n]海底探险中有了重大发现.[/p]我们在128号道路[/n]发现了一个海底洞窟.[/p]我们认为那里栖息着一只[/n]据说早已灭绝的宝可梦.,,machine-translated, [ptr:0x29510d]
00296820,0x8296820,main-text,,211,105,"Fufufu[...][/n]Capt. Stern, I presume.[/p]We of Team Aqua will assume[/n]control of your submarine![/p]Your objections are meaningless![/n]We expect your total cooperation![/p]Fufufu[...][/n]Just watch and learn what Team[/l]Aqua has planned!","呵呵呵[...][/n]斯彭船长, 对吧.[/p]我们水箭队要接管[/n]你的潜水艇了![/p]反抗是没有用的![/n]请你乖乖配合![/p]呵呵呵[...][/n]等着瞧水箭队[/l]的计划吧!",,machine-translated, [ptr:0x295119]
002968F3,0x82968F3,main-text,,105,52,Capt. Stern: What was that all about?[/p]It sounded like someone using[/n]a megaphone[...][/p]Where did it come from?,斯彭船长: 刚才那是怎么回事?[/p]听起来像是有人用了[/n]扩音器[...][/p]声音是从哪里传来的?,,machine-translated, [ptr:0x295151]
0029695C,0x829695C,main-text,,64,31,It's from the Harbor![/p]The submarine![/n]They're trying to take it!,是从港口传来的![/p]潜水艇![/n]他们要抢走潜水艇!,,machine-translated, [ptr:0x29517a]
0029699C,0x829699C,main-text,,28,13,"[玩家][fd08]![/n]Please, come with me!","[玩家][fd08]![/n]拜托, 请跟我来!",,machine-translated, [ptr:0x295182]
002969B8,0x82969B8,main-text,,60,29,Battle Tent Slateport Site[/n]“Find it! The ultimate Pokémon!”,凯那市对战帐篷[/n]“寻找吧! 最强的宝可梦!”,,machine-translated, [ptr:0x294e42]
002969F4,0x82969F4,main-text,,72,35,Stern's Shipyard[/p]“Wanted: A sailor capable of sailing[/n]in all currents.”,斯彭造船厂[/p]“招聘: 能在任何海流中[/n]航行的水手.”,,machine-translated, [ptr:0x294e5e]
00296A3C,0x8296A3C,main-text,,106,52,Stern's Shipyard[/p]“The ferry S.S. Tidal nears[/n]completion for serving the ports of[/l]Slateport and Lilycove.”,"斯彭造船厂[/p]“渡轮S.S. Tidal即将完工,将往返于[/n]凯那市[/l]和紫堇市的港口.”",,machine-translated, [ptr:0x294e68]
00296AA6,0x8296AA6,main-text,,97,48,Stern's Shipyard[/p]“Boarding of the Slateport-Lilycove[/n]ferry S.S. Tidal is handled at the[/l]Harbor.”,斯彭造船厂[/p]“凯那市至紫堇市的[/n]渡轮S.S. Tidal在[/l]港口办理乘船手续.”,,machine-translated, [ptr:0x294e72]
00296B07,0x8296B07,main-text,,48,23,Pokémon Fan Club[/n]“Calling all fans of Pokémon!”,宝可梦爱好者俱乐部[/n]“宝可梦的粉丝们快来!”,,machine-translated, [ptr:0x294e7c]
00296B37,0x8296B37,main-text,,52,25,“The endless sea sustains[/n]all life.”[/p]Oceanic Museum,“无尽的大海[/n]滋养着万物.”[/p]海洋博物馆,,machine-translated, [ptr:0x294e85]
00296B6B,0x8296B6B,main-text,,64,31,Slateport City[/p]“The port where people and Pokémon[/n]cross paths.”,凯那市[/p]“人与宝可梦[/n]交汇的港口.”,,machine-translated, [ptr:0x294e8e]
00296BAB,0x8296BAB,main-text,,52,25,Slateport Market[/n]“Unique items found nowhere else!”,凯那市场[/n]“别处买不到的独特商品!”,,machine-translated, [ptr:0x294e97]
00296BDF,0x8296BDF,main-text,,119,59,Slateport Harbor[/p]“The ferry S.S. Tidal is under[/n]construction in the Shipyard.[/p]“Service is scheduled to begin[/n]shortly.”,凯那港[/p]“渡轮S.S. Tidal正在[/n]造船厂建造中.[/p]”预计很快[/n]就会投入运营.“,,machine-translated, [ptr:0x294eaa]
00296C56,0x8296C56,main-text,,70,34,Slateport Harbor[/p]“Enjoy a delightful cruise on[/n]the ferry S.S. Tidal.”,凯那港[/p]“乘坐S.S. Tidal渡轮[/n]享受愉快的海上之旅.”,,machine-translated, [ptr:0x294eb4]
00296C9C,0x8296C9C,main-text,,32,15,Pokémon Chef's House[/n]Abandoned.,宝可梦厨师之家[/n]已废弃.,,machine-translated, [ptr:0x294ebe]
00296F2E,0x8296F2E,main-text,,39,19,Have you brought me some[/n]Berry Powder?,你带了[/n]树果粉尘来吗?,,machine-translated, [ptr:0x2952fd]
00296F55,0x8296F55,main-text,,41,20,What would you like to exchange[/n]it with?,你想换[/n]什么?,,machine-translated, [ptr:0x295317]
00296F7E,0x8296F7E,main-text,,57,28,"Okay, you want to exchange your[/n]Berry Powder for one [buffer1]?","好的, 你想用树果粉尘[/n]换一个[buffer1]吗?",,machine-translated, [ptr:0x2954a5]
00296FB7,0x8296FB7,main-text,,46,22,"Oh, dear. You don't have enough[/n]Berry Powder.",哎呀. 你的树果粉尘[/n]不够呢.,,machine-translated, [ptr:0x29551c]
00296FE5,0x8296FE5,main-text,,130,64,This is fine Berry Powder.[/n]It will make excellent medicine.[/p]Would you like to trade more of your[/n]Berry Powder for something else?,这树果粉尘品质不错.[/n]能做出很好的药.[/p]你想用更多的[/n]树果粉尘换点别的吗?,,machine-translated, [ptr:0x2954ef]
00297067,0x8297067,main-text,,67,33,"Okay! When you get some more[/n]Berry Powder, bring it to me, please!","好的! 等你收集到更多[/n]树果粉尘, 请带过来给我!",,machine-translated, [ptr:0x295502]
002970AA,0x82970AA,main-text,,118,58,Come back if you'd like to trade your[/n]Berry Powder for some medicine.[/p]I'm always running a bazaar here.[/p]Did you know?,想用树果粉尘[/n]换药的话随时来找我.[/p]我一直在这里摆摊.[/p]你知道吗?,,machine-translated, [ptr:0x295498]
00297120,0x8297120,main-text,,204,101,"Scott: Huh?[/n]I'm sure I met you somewhere before.[/p]Have I introduced myself to you?[/n]If not, my name's SCOTT.[/p]I just saw Team Aqua run away from[/n]here like they were stung.[/p]Let me guess--you drove them away?","斯科特: 嗯?[/n]我确信我们之前见过.[/p]我自我介绍过了吗?[/n]还没有的话, 我叫斯科特.[/p]我刚看到水箭队[/n]像被蛰了一样逃走了.[/p]让我猜猜, 是你把他们赶走的?",,machine-translated, [ptr:0x294c4d]
002971EC,0x82971EC,main-text,,45,22,"Scott: Hmm[...][/n]Maybe, just maybe, this Trainer[...]","斯科特: 嗯...[...][/n]也许吧, 说不定这位训练家[...]",,machine-translated, [ptr:0x294c63]
00297219,0x8297219,main-text,,123,61,"Scott: All right! I think you're going[/n]to become a good friend.[/p]So, let's register each other in our[/n]PokéNavs.[/p][...] [...] [...] [...] [...] [...]","斯科特: 太好了! 我觉得你会成为一[/n]个好朋友.[/p][/n]那么, 我们就在宝可导航上[/p]互留号码吧.[...][...][...][...][...][...]",,machine-translated, [ptr:0x294c75]
002972C1,0x82972C1,main-text,,185,92,"Scott: What I'd like to do is tag along[/n]with you, but I do want to keep an eye[/l]on the talents of other people, too.[/p]So, I'll be off to roam other towns[/n]a bit more.[/p]Be seeing you, [玩家][fd08]!","斯科特: 我倒是想[/n]跟着你走, 不过我也想[/l]看看其他人的[/p]实力.[/p][/n]所以我要去别的城镇[/p]转转.[玩家]再见了, [fd08]",,machine-translated, [ptr:0x294c81]
0029737A,0x829737A,main-text,,249,124,"Scott: Oh, hey![/n]If it isn't [玩家][fd08]![/p][玩家][fd08], let me guess--you're going[/n]to take the Battle Tent challenge?[/p]Yeah! That's a good idea![/n]That's a really great idea![/p]After all, a tough Trainer is[/n]the perfect fit for the Battle Tent![/p]Give it your best effort!","斯科特: 哦, 嘿![/n][玩家][fd08][/p][玩家][fd08], 猜猜看, 你是不是[/n]要去挑战对战帐篷?[/p]好啊! 这主意不错![/n]真是个绝妙的主意![/p][/n]毕竟是最强的训练家[/p]才配挑战对战帐篷! 尽全力吧!",,machine-translated, [ptr:0x295555]
00297473,0x8297473,main-text,,38,18,"Hey! Howdy! Up for a battle, Trainer?","嘿! 你好呀! 训练家, 要来一场对战[/n]吗?",,machine-translated, [ptr:0x2951c6]
00297499,0x8297499,main-text,,71,35,"Hmm[...] yeah, you look like you're up[/n]for this. Is your team ready to go?",嗯...[...]看起来你已经准备[/n]好了. 你的队伍准备好了吗?,,machine-translated, [ptr:0x2951e2]
002974E0,0x82974E0,main-text,,123,61,"Hmm[...] no, maybe not. To be blunt, you[/n]look pretty weak.[/p]Come see me again once you've trained[/n]up a bit more. Or a lot more!","嗯...[...]不, 你还不行. 说实话, 你看[/n]起来还很弱.[/p][/n]等你多练练再来找我吧. 或者多练很[/p]多很多!",,machine-translated, [ptr:0x295243]
0029755B,0x829755B,main-text,,33,16,Great! Be ready for a thrashing!,太好了! 准备挨打吧!,,machine-translated, [ptr:0x2951f5]
0029757C,0x829757C,main-text,,57,28,Huh? Really? Shouldn't you always be[/n]ready for a battle?,咦? 真的吗? 你不应该时刻准备好对[/n]战吗?,,machine-translated, [ptr:0x29524d]
002975B5,0x82975B5,main-text,,32,15,No way! You're tough after all!,不会吧! 你果然很强!,,machine-translated, [ptr:0x295201]
002975D5,0x82975D5,main-text,,69,34,"Hey, not bad! [玩家], was it?[/n]I'll remember that.[/p]Here, take my Pokémon!","嘿, 不错嘛! [玩家], 对吧?[/n]我会记住你的.[/p]来, 把这只宝可梦收下吧!",,machine-translated, [ptr:0x295207]
0029761A,0x829761A,main-text,,139,69,"Next time we battle will be a lot more[/n]fun, but I won't lose again![/p]You'd better do some serious training;[/n]no halfhearted rematch allowed!","下次对战会更[/n]有趣的, 但我不会再输了![/p][/n]你可得好好训练, 半吊子的复仇战我[/p]可不接受!",,machine-translated, [ptr:0x295239]
002976A5,0x82976A5,main-text,,33,16,[玩家] got a [文本色08]Gengar[文本色02] as a gift!,[玩家]获得了[文本色08]耿鬼[文本色02]作为礼物!,,machine-translated, [ptr:0x29522f]
00297B38,0x8297B38,main-text,,105,52,"Uncle: It's because of Pokémon that[/n]this boy's got more pep, I suppose[...][/l]But he's become a bit too peppy[...]","舅舅: 这都多亏了宝可梦,[/n][...]这孩子才变得这么有活力吧.[/l][...]不过他[/p]现在活泼过头了.",,machine-translated, [ptr:0x29778a]
00297BA1,0x8297BA1,main-text,,116,57,"Wally: Aww, Uncle, please?[/p]I want to challenge this Gym and see[/n]how much better I've become.[/p]Please? May I, please?","满充: 啊, 舅舅, 求求你了?[/p][/n][/p]我想去挑战道馆, 看看自己进步了多[/n]少.",,machine-translated, [ptr:0x2977c8]
00297C15,0x8297C15,main-text,,170,84,"Uncle: Now hold on, Wally.[/p]Since you started living with Pokémon,[/n]you have grown quite a lot stronger.[/p]But don't you think you're pushing it[/n]to suddenly challenge a Gym?","舅舅: 等等, 满充.[/p][/n][/p]你和宝可梦在一起之后, 确实变强了[/n]很多.但你突然就要去挑战道馆, 是[/p]不是太急了?",,machine-translated, [ptr:0x2977d0]
00297CBF,0x8297CBF,main-text,,83,41,"Wally: I'm not pushing it.[/p]If I combine forces with Gardevoir,[/n]we can beat anyone!",满充: 我没有操之过急.[/p][/n],,machine-translated, [ptr:0x2977d8]
